[ 2016-10-10T12:48:29+08:00 ] /weixin/ | INFO: Tag[ app_begin ] --START--
[ 2016-10-10T12:48:29+08:00 ] /weixin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002176s ]
[ 2016-10-10T12:48:29+08:00 ] /weixin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.037549s ]
[ 2016-10-10T12:48:29+08:00 ] /weixin/ | NOTIC: [8] Undefined index: timestamp IndexAction.class.php 第 10 行.
[ 2016-10-10T12:48:29+08:00 ] /weixin/ | NOTIC: [8] Undefined index: nonce IndexAction.class.php 第 11 行.
[ 2016-10-10T12:48:29+08:00 ] /weixin/ | NOTIC: [8] Undefined index: signature IndexAction.class.php 第 13 行.
[ 2016-10-10T12:48:29+08:00 ] /weixin/ | NOTIC: [8] Undefined index: echostr IndexAction.class.php 第 14 行.
[ 2016-10-10T12:48:29+08:00 ] /weixin/ | NOTIC: [8] Undefined index: HTTP_RAW_POST_DATA IndexAction.class.php 第 257 行.
[ 2016-10-10T12:48:29+08:00 ] /weixin/ | NOTIC: [8] Trying to get property of non-object IndexAction.class.php 第 345 行.
[ 2016-10-10T12:48:29+08:00 ] /weixin/ | NOTIC: [8] Trying to get property of non-object IndexAction.class.php 第 395 行.
[ 2016-10-10T12:48:29+08:00 ] /weixin/ | NOTIC: [8] Trying to get property of non-object IndexAction.class.php 第 396 行.
[ 2016-10-10T12:48:29+08:00 ] /weixin/ | NOTIC: [8] Trying to get property of non-object IndexAction.class.php 第 402 行.
[ 2016-10-10T12:48:29+08:00 ] /weixin/ | NOTIC: [8] Use of undefined constant retData - assumed 'retData' IndexAction.class.php 第 413 行.
[ 2016-10-10T12:48:29+08:00 ] /weixin/ | NOTIC: [8] Undefined index: city IndexAction.class.php 第 414 行.
[ 2016-10-10T12:48:29+08:00 ] /weixin/ | NOTIC: [8] Undefined index: date IndexAction.class.php 第 414 行.
[ 2016-10-10T12:48:29+08:00 ] /weixin/ | NOTIC: [8] Undefined index: time IndexAction.class.php 第 414 行.
[ 2016-10-10T12:48:29+08:00 ] /weixin/ | NOTIC: [8] Undefined index: temp IndexAction.class.php 第 414 行.
[ 2016-10-10T12:48:29+08:00 ] /weixin/ | NOTIC: [8] Undefined index: l_tmp IndexAction.class.php 第 414 行.
[ 2016-10-10T12:48:29+08:00 ] /weixin/ | NOTIC: [8] Undefined index: h_tmp IndexAction.class.php 第 414 行.
[ 2016-10-10T12:48:29+08:00 ] /weixin/ | NOTIC: [8] Trying to get property of non-object IndexAction.class.php 第 443 行.
[ 2016-10-10T12:49:08+08:00 ] /weixin/index.php/Index | INFO: Tag[ route_check ] --START--
[ 2016-10-10T12:49:08+08:00 ] /weixin/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.001835s ]
[ 2016-10-10T12:49:08+08:00 ] /weixin/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001993s ]
[ 2016-10-10T12:49:08+08:00 ] /weixin/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-10T12:49:08+08:00 ] /weixin/index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2016-10-10T12:49:08+08:00 ] /weixin/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000778s ]
[ 2016-10-10T12:49:08+08:00 ] /weixin/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000873s ]
[ 2016-10-10T12:49:08+08:00 ] /weixin/index.php/Index | NOTIC: [8] Undefined index: timestamp IndexAction.class.php 第 10 行.
[ 2016-10-10T12:49:08+08:00 ] /weixin/index.php/Index | NOTIC: [8] Undefined index: nonce IndexAction.class.php 第 11 行.
[ 2016-10-10T12:49:08+08:00 ] /weixin/index.php/Index | NOTIC: [8] Undefined index: signature IndexAction.class.php 第 13 行.
[ 2016-10-10T12:49:08+08:00 ] /weixin/index.php/Index | NOTIC: [8] Undefined index: echostr IndexAction.class.php 第 14 行.
[ 2016-10-10T12:49:08+08:00 ] /weixin/index.php/Index | NOTIC: [8] Undefined index: HTTP_RAW_POST_DATA IndexAction.class.php 第 257 行.
[ 2016-10-10T12:49:08+08:00 ] /weixin/index.php/Index | NOTIC: [8] Trying to get property of non-object IndexAction.class.php 第 345 行.
[ 2016-10-10T12:49:08+08:00 ] /weixin/index.php/Index | NOTIC: [8] Trying to get property of non-object IndexAction.class.php 第 395 行.
[ 2016-10-10T12:49:08+08:00 ] /weixin/index.php/Index | NOTIC: [8] Trying to get property of non-object IndexAction.class.php 第 396 行.
[ 2016-10-10T12:49:08+08:00 ] /weixin/index.php/Index | NOTIC: [8] Trying to get property of non-object IndexAction.class.php 第 402 行.
[ 2016-10-10T12:49:08+08:00 ] /weixin/index.php/Index | NOTIC: [8] Use of undefined constant retData - assumed 'retData' IndexAction.class.php 第 413 行.
[ 2016-10-10T12:49:08+08:00 ] /weixin/index.php/Index | NOTIC: [8] Undefined index: city IndexAction.class.php 第 414 行.
